ASX Code,Company Name,Date,Open,High,Low,Close,Volume,Market Capitalisation($m),Shares on Issue
PSQ,Pacific Smiles Group Limited,05/11/2025,0.000,0.000,0.000,2.180,0,352.32,161615445
PSQ,Pacific Smiles Group Limited,04/11/2025,0.000,0.000,0.000,2.180,0,352.32,161615445
PSQ,Pacific Smiles Group Limited,03/11/2025,0.000,0.000,0.000,2.180,0,352.32,161615445
PSQ,Pacific Smiles Group Limited,31/10/2025,2.180,2.180,2.180,2.180,745,352.32,161615445
PSQ,Pacific Smiles Group Limited,30/10/2025,2.190,2.190,2.190,2.190,2396,353.94,161615445
PSQ,Pacific Smiles Group Limited,29/10/2025,2.180,2.180,2.180,2.180,56,352.32,161615445
PSQ,Pacific Smiles Group Limited,28/10/2025,2.190,2.190,2.180,2.180,920,352.32,161615445
PSQ,Pacific Smiles Group Limited,27/10/2025,2.190,2.190,2.180,2.180,2,352.32,161615445
PSQ,Pacific Smiles Group Limited,24/10/2025,2.190,2.190,2.180,2.180,5,352.32,161615445
PSQ,Pacific Smiles Group Limited,23/10/2025,0.000,0.000,0.000,2.190,0,353.94,161615445
PSQ,Pacific Smiles Group Limited,22/10/2025,2.190,2.190,2.190,2.190,5,353.94,161615445
PSQ,Pacific Smiles Group Limited,21/10/2025,2.180,2.180,2.180,2.180,37,352.32,161615445
PSQ,Pacific Smiles Group Limited,20/10/2025,2.190,2.190,2.180,2.180,2,352.32,161615445
PSQ,Pacific Smiles Group Limited,17/10/2025,2.190,2.190,2.180,2.180,17,352.32,161615445
PSQ,Pacific Smiles Group Limited,16/10/2025,0.000,0.000,0.000,2.190,0,353.94,161615445
PSQ,Pacific Smiles Group Limited,15/10/2025,2.190,2.190,2.190,2.190,8,353.94,161615445
PSQ,Pacific Smiles Group Limited,14/10/2025,2.180,2.190,2.180,2.180,2881,352.32,161615445
PSQ,Pacific Smiles Group Limited,13/10/2025,2.185,2.190,2.180,2.180,23082,352.32,161615445
PSQ,Pacific Smiles Group Limited,10/10/2025,0.000,0.000,0.000,1.600,0,258.58,161615445
PSQ,Pacific Smiles Group Limited,09/10/2025,0.000,0.000,0.000,1.600,0,258.58,161615445
PSQ,Pacific Smiles Group Limited,08/10/2025,0.000,0.000,0.000,1.600,0,258.58,161615445
PSQ,Pacific Smiles Group Limited,07/10/2025,0.000,0.000,0.000,1.600,0,258.58,161615445
PSQ,Pacific Smiles Group Limited,06/10/2025,1.600,1.600,1.600,1.600,350,258.58,161615445
PSQ,Pacific Smiles Group Limited,03/10/2025,1.600,1.600,1.600,1.600,8,258.58,161615445
PSQ,Pacific Smiles Group Limited,02/10/2025,0.000,0.000,0.000,1.525,0,246.46,161615445
PSQ,Pacific Smiles Group Limited,01/10/2025,0.000,0.000,0.000,1.525,0,246.46,161615445
PSQ,Pacific Smiles Group Limited,30/09/2025,0.000,0.000,0.000,1.525,0,246.46,161615445
PSQ,Pacific Smiles Group Limited,29/09/2025,0.000,0.000,0.000,1.525,0,246.46,161615445
PSQ,Pacific Smiles Group Limited,26/09/2025,0.000,0.000,0.000,1.525,0,246.46,161615445
PSQ,Pacific Smiles Group Limited,25/09/2025,1.625,1.625,1.525,1.525,980,246.46,161615445
PSQ,Pacific Smiles Group Limited,24/09/2025,0.000,0.000,0.000,1.580,0,255.35,161615445
PSQ,Pacific Smiles Group Limited,23/09/2025,0.000,0.000,0.000,1.580,0,255.35,161615445
PSQ,Pacific Smiles Group Limited,22/09/2025,0.000,0.000,0.000,1.580,0,255.35,161615445
PSQ,Pacific Smiles Group Limited,19/09/2025,0.000,0.000,0.000,1.580,0,255.35,161615445
PSQ,Pacific Smiles Group Limited,18/09/2025,0.000,0.000,0.000,1.580,0,255.35,161615445
PSQ,Pacific Smiles Group Limited,17/09/2025,0.000,0.000,0.000,1.580,0,255.35,161615445
PSQ,Pacific Smiles Group Limited,16/09/2025,0.000,0.000,0.000,1.580,0,255.35,161615445
PSQ,Pacific Smiles Group Limited,15/09/2025,0.000,0.000,0.000,1.580,0,255.35,161615445
PSQ,Pacific Smiles Group Limited,12/09/2025,0.000,0.000,0.000,1.580,0,255.35,161615445
PSQ,Pacific Smiles Group Limited,11/09/2025,1.580,1.580,1.580,1.580,32,255.35,161615445
PSQ,Pacific Smiles Group Limited,10/09/2025,1.580,1.580,1.580,1.580,34,255.35,161615445
PSQ,Pacific Smiles Group Limited,09/09/2025,0.000,0.000,0.000,1.575,0,254.54,161615445
PSQ,Pacific Smiles Group Limited,08/09/2025,0.000,0.000,0.000,1.575,0,254.54,161615445
PSQ,Pacific Smiles Group Limited,05/09/2025,0.000,0.000,0.000,1.575,0,254.54,161615445
PSQ,Pacific Smiles Group Limited,04/09/2025,0.000,0.000,0.000,1.575,0,254.54,161615445
PSQ,Pacific Smiles Group Limited,03/09/2025,0.000,0.000,0.000,1.575,0,254.54,161615445
PSQ,Pacific Smiles Group Limited,02/09/2025,0.000,0.000,0.000,1.575,0,254.54,161615445
PSQ,Pacific Smiles Group Limited,01/09/2025,0.000,0.000,0.000,1.575,0,254.54,161615445
PSQ,Pacific Smiles Group Limited,29/08/2025,1.615,1.615,1.575,1.575,2226,254.54,161615445
PSQ,Pacific Smiles Group Limited,28/08/2025,0.000,0.000,0.000,1.615,0,261.01,161615445
PSQ,Pacific Smiles Group Limited,27/08/2025,0.000,0.000,0.000,1.615,0,261.01,161615445
PSQ,Pacific Smiles Group Limited,26/08/2025,0.000,0.000,0.000,1.615,0,261.01,161615445
PSQ,Pacific Smiles Group Limited,25/08/2025,0.000,0.000,0.000,1.615,0,261.01,161615445
PSQ,Pacific Smiles Group Limited,22/08/2025,1.615,1.615,1.615,1.615,6,261.01,161615445
PSQ,Pacific Smiles Group Limited,21/08/2025,0.000,0.000,0.000,1.575,0,254.54,161615445
PSQ,Pacific Smiles Group Limited,20/08/2025,0.000,0.000,0.000,1.575,0,254.54,161615445
PSQ,Pacific Smiles Group Limited,19/08/2025,0.000,0.000,0.000,1.575,0,254.54,161615445
PSQ,Pacific Smiles Group Limited,18/08/2025,0.000,0.000,0.000,1.575,0,254.54,161615445
