Date,Equity,Return
2025-07-01,1000.0,0.0
2025-07-02,1101.25,0.10125000000000006
2025-07-03,1135.0,0.135
2025-07-04,1148.5,0.14850000000000008
2025-07-07,1192.375,0.19237499999999996
2025-07-14,1192.375,0.19237499999999996
2025-07-16,1101.25,0.10125000000000006
2025-07-17,1111.375,0.111375
2025-07-21,1128.25,0.12824999999999998
2025-07-28,1128.25,0.12824999999999998
2025-07-30,1128.25,0.12824999999999998
2025-08-04,1128.25,0.12824999999999998
2025-08-05,1013.5,0.013500000000000068
2025-08-06,1020.25,0.0202500000000001
2025-08-08,1013.5,0.013500000000000068
2025-08-11,1020.25,0.0202500000000001
2025-08-13,1047.25,0.047250000000000014
2025-08-14,1050.625,0.05062499999999992
2025-08-15,1064.125,0.06412499999999999
2025-08-22,1091.125,0.0911249999999999
2025-08-29,1064.125,0.06412499999999999
2025-09-10,1067.5,0.0674999999999999
2025-09-11,1067.5,0.0674999999999999
2025-09-25,1030.375,0.03037500000000004
2025-10-03,1081.0,0.08099999999999996
2025-10-06,1081.0,0.08099999999999996
2025-10-13,1472.5,0.4724999999999999
2025-10-14,1472.5,0.4724999999999999
2025-10-15,1479.25,0.47924999999999995
2025-10-17,1472.5,0.4724999999999999
2025-10-20,1472.5,0.4724999999999999
2025-10-21,1472.5,0.4724999999999999
2025-10-22,1479.25,0.47924999999999995
2025-10-24,1472.5,0.4724999999999999
2025-10-27,1472.5,0.4724999999999999
2025-10-28,1472.5,0.4724999999999999
2025-10-29,1472.5,0.4724999999999999
2025-10-30,1479.25,0.47924999999999995
2025-10-31,1472.5,0.4724999999999999
