EntryTime,ExitTime,Size,PnL,Equity After Trade
2025-07-03,2025-07-16,613,82.75500000000001,1082.755
2025-07-17,2025-08-05,664,26.560000000000024,1109.315
2025-08-06,2025-08-08,739,7.390000000000007,1116.7050000000002
2025-08-11,2025-08-29,744,85.55999999999999,1202.265
2025-09-10,2025-09-25,763,3.8150000000000883,1206.0800000000002
2025-10-03,2025-10-17,790,525.35,1731.43
2025-10-22,2025-10-24,794,7.939999999999831,1739.37
2025-10-30,2025-10-31,797,7.96999999999983,1747.3399999999997
